iter	Passed	Remaining
0	4	424
1	5	280
2	7	226
3	8	200
4	10	199
5	11	186
6	13	177
7	18	207
8	19	199
9	21	192
10	23	188
11	25	186
12	26	180
13	32	202
14	35	202
15	37	199
16	39	192
17	44	203
18	48	206
19	50	201
20	52	195
21	58	206
22	59	200
23	61	194
24	63	190
25	64	184
26	69	187
27	72	187
28	74	182
29	75	176
30	77	172
31	78	167
32	83	169
33	85	165
34	87	161
35	89	158
36	90	154
37	95	155
38	96	151
39	98	147
40	100	144
41	101	139
42	102	136
43	104	132
44	111	135
45	112	132
46	114	129
47	116	125
48	117	122
49	124	124
50	125	120
51	127	117
52	129	114
53	131	111
54	132	108
55	138	108
56	139	105
57	141	102
58	143	99
59	145	96
60	146	93
61	153	94
62	155	91
63	156	88
64	158	85
65	160	82
66	165	81
67	166	78
68	168	75
69	169	72
70	171	70
71	174	67
72	176	65
73	178	62
74	179	59
75	181	57
76	186	55
77	187	53
78	189	50
79	191	47
80	192	45
81	195	42
82	201	41
83	202	38
84	204	36
85	205	33
86	207	31
87	209	28
88	215	26
89	217	24
90	218	21
91	220	19
92	221	16
93	226	14
94	228	12
95	230	9
96	231	7
97	233	4
98	235	2
99	236	0
