iter	Passed	Remaining
0	169	169293
1	172	85845
2	173	57722
3	176	43921
4	178	35478
5	179	29790
6	181	25748
7	182	22680
8	186	20563
9	188	18652
10	190	17125
11	191	15790
12	193	14699
13	195	13743
14	196	12893
15	197	12142
16	202	11712
17	204	11154
18	205	10631
19	207	10157
20	208	9724
21	210	9341
22	211	8988
23	217	8843
24	218	8536
25	220	8246
26	221	7987
27	222	7734
28	224	7501
29	225	7278
30	226	7072
31	229	6946
32	230	6767
33	232	6594
34	233	6429
35	234	6274
36	235	6128
37	236	5989
38	237	5858
39	238	5730
40	239	5611
41	244	5570
42	245	5459
43	246	5352
44	247	5252
45	248	5156
46	249	5066
47	251	4979
48	252	4894
49	253	4811
50	254	4730
51	258	4706
52	259	4631
53	260	4560
54	261	4492
55	262	4425
56	263	4361
57	264	4299
58	265	4241
59	267	4183
60	268	4132
61	272	4115
62	273	4062
63	274	4010
64	275	3962
65	276	3913
66	277	3868
67	278	3822
68	280	3780
69	281	3738
70	282	3699
71	286	3687
72	287	3648
73	288	3609
74	289	3570
75	290	3533
76	291	3496
77	292	3461
78	294	3429
79	295	3397
80	296	3366
81	300	3368
82	302	3337
83	303	3307
84	304	3277
85	305	3247
86	306	3218
87	307	3189
88	308	3162
89	310	3134
90	311	3111
91	314	3104
92	315	3081
93	317	3056
94	318	3034
95	319	3010
96	321	2992
97	323	2976
98	325	2962
99	328	2956
100	329	2934
101	330	2912
102	332	2892
103	333	2871
104	334	2852
105	335	2831
106	336	2812
107	338	2791
108	339	2774
109	342	2770
110	343	2751
111	344	2733
112	345	2714
113	347	2700
114	349	2689
115	351	2674
116	352	2657
117	353	2643
118	356	2638
119	357	2623
120	358	2602
121	359	2586
122	361	2575
123	364	2571
124	365	2557
125	366	2544
126	370	2546
127	373	2541
128	374	2529
129	375	2515
130	376	2500
131	377	2484
132	379	2471
133	380	2456
134	381	2442
135	385	2450
136	386	2436
137	388	2426
138	389	2413
139	390	2399
140	391	2387
141	392	2374
142	394	2361
143	395	2349
144	397	2346
145	399	2338
146	401	2327
147	402	2316
148	403	2305
149	404	2292
150	405	2281
151	407	2270
152	408	2259
153	410	2254
154	413	2254
155	414	2244
156	415	2233
157	417	2222
158	418	2211
159	419	2201
160	420	2191
161	421	2180
162	422	2171
163	427	2177
164	428	2167
165	429	2158
166	430	2148
167	431	2138
168	433	2129
169	434	2119
170	435	2110
171	436	2100
172	437	2091
173	441	2096
174	442	2087
175	443	2077
176	444	2068
177	445	2059
178	447	2050
179	448	2042
180	449	2034
181	450	2025
182	451	2017
183	455	2020
184	456	2012
185	457	2004
186	459	1996
187	460	1988
188	461	1980
189	462	1971
190	463	1964
191	464	1953
192	465	1946
193	484	2011
194	485	2006
195	487	1998
196	488	1991
197	489	1983
198	490	1975
199	491	1967
200	492	1959
201	494	1952
202	495	1946
203	499	1949
204	500	1941
205	501	1933
206	502	1926
207	504	1919
208	505	1911
209	506	1904
210	507	1897
211	508	1891
212	510	1885
213	513	1887
214	514	1880
215	516	1873
216	517	1866
217	518	1859
218	519	1853
219	521	1849
220	523	1845
221	527	1847
222	528	1841
223	529	1834
224	530	1828
225	531	1821
226	533	1815
227	534	1808
228	535	1804
229	537	1799
230	539	1795
231	540	1790
232	542	1786
233	545	1785
234	546	1780
235	548	1776
236	549	1770
237	550	1764
238	553	1761
239	554	1756
240	556	1751
241	557	1745
242	558	1739
243	559	1733
244	560	1727
245	561	1722
246	562	1716
247	564	1710
248	568	1714
249	569	1708
250	570	1702
251	571	1697
252	573	1692
253	574	1687
254	575	1682
255	576	1676
256	578	1671
257	579	1667
258	583	1668
259	584	1663
260	585	1658
261	587	1653
262	588	1648
263	589	1643
264	590	1637
265	591	1632
266	592	1627
267	596	1629
268	597	1624
269	598	1618
270	600	1615
271	601	1610
272	602	1605
273	603	1600
274	605	1595
275	606	1589
276	607	1584
277	611	1588
278	612	1583
279	613	1578
280	615	1573
281	616	1569
282	617	1564
283	618	1560
284	620	1556
285	626	1562
286	628	1560
287	629	1556
288	630	1552
289	632	1547
290	633	1543
291	635	1539
292	637	1539
293	639	1536
294	641	1533
295	642	1529
296	644	1524
297	645	1520
298	646	1515
299	647	1510
300	648	1506
301	649	1501
302	653	1502
303	654	1498
304	655	1494
305	656	1489
306	657	1484
307	659	1480
308	660	1476
309	661	1471
310	662	1467
